2026-02-07 14:15:31.865220 | 192.168.1.1 | DoS | BLOCKED
2026-02-07 14:15:31.895055 | 192.168.1.5 | Probe | ALERT
2026-02-07 14:15:31.903552 | 192.168.1.6 | Other_Attack | MONITOR
2026-02-07 14:15:31.921387 | 192.168.1.10 | Other_Attack | MONITOR
2026-02-07 14:15:31.931006 | 192.168.1.12 | DoS | BLOCKED
2026-02-07 14:15:31.935873 | 192.168.1.13 | Other_Attack | MONITOR
2026-02-07 14:15:31.940955 | 192.168.1.14 | Other_Attack | MONITOR
2026-02-07 14:16:38.895032 | 192.168.1.1 | DoS | BLOCKED
2026-02-07 14:16:42.932050 | 192.168.1.5 | Probe | ALERT_ONLY
2026-02-07 14:16:43.941905 | 192.168.1.6 | Other_Attack | MONITOR
2026-02-07 14:16:47.974579 | 192.168.1.10 | Other_Attack | MONITOR
2026-02-07 14:16:49.992316 | 192.168.1.12 | DoS | BLOCKED
2026-02-07 14:16:51.012484 | 192.168.1.13 | Other_Attack | MONITOR
2026-02-07 14:16:52.038654 | 192.168.1.14 | Other_Attack | MONITOR
2026-02-07 14:16:53.063475 | 192.168.1.15 | R2L | MONITOR
2026-02-07 14:16:57.154504 | 192.168.1.19 | DoS | BLOCKED
2026-02-07 14:21:51.446934 | 192.168.1.1 | DoS | BLOCKED
2026-02-07 14:21:55.516549 | 192.168.1.5 | Probe | ALERT_ONLY
2026-02-07 14:21:56.548180 | 192.168.1.6 | Other_Attack | MONITOR
2026-02-07 14:22:00.669645 | 192.168.1.10 | Other_Attack | MONITOR
2026-02-07 14:22:02.720723 | 192.168.1.12 | DoS | BLOCKED
2026-02-07 14:22:03.744936 | 192.168.1.13 | Other_Attack | MONITOR
2026-02-07 14:22:04.770410 | 192.168.1.14 | Other_Attack | MONITOR
2026-02-07 14:22:05.797776 | 192.168.1.15 | R2L | MONITOR
2026-02-07 14:22:09.900189 | 192.168.1.19 | DoS | BLOCKED
2026-03-01 14:54:05.536620 | 192.168.1.25 | Risk: 0.35 | MONITOR
